Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link1,-0.014045,-0.00010244,0.42421,0,0,0,0.26448,0.00037715,2.5995E-08,8.269E-06,0.00020603,1.6005E-07,0.0003378,0,0,0,0,0,0,package://rosaya/meshes/Link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rosaya/meshes/Link1.STL,,Link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link2,-0.027516,0.00022504,-0.039853,0,0,0,0.26676,0.00020194,-2.026E-07,-2.9245E-07,6.9731E-05,-6.7072E-07,0.00020891,0,0,0,0,0,0,package://rosaya/meshes/Link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rosaya/meshes/Link2.STL,,Link2-1,Origin_Joint1,Axis_Joint1,Joint1,continuous,0.0150416145062784,-0.000145225937100715,0.375282029235617,-0.00310746977134566,0,0,Link1,1,0,0,,,,,,,,,,,,
Link3,-0.010804,2.1661E-06,-0.024632,0,0,0,0.14146,2.3963E-05,2.9004E-09,1.8274E-07,3.8433E-05,-3.819E-11,3.167E-05,0,0,0,0,0,0,package://rosaya/meshes/Link3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rosaya/meshes/Link3.STL,,Link3-1,Origin_Joint2,Axis_Joint2,Joint2,continuous,-0.0150417125919951,0.000171249925764887,-0.0551096819554042,0.00310746977134566,0,0,Link2,0,0,1,,,,,,,,,,,,
L_Link,2.5032E-07,7.443E-08,-0.0094973,0,0,0,0.0062048,1.1671E-06,2.2413E-14,-1.3175E-11,4.7062E-06,-3.9175E-12,4.3674E-06,0,0,0,0,0,0,package://rosaya/meshes/L_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rosaya/meshes/L_Link.STL,,Link4-2,Origin_Joint3,Axis_Joint3,Joint3,continuous,0,0.045659264836335,-0.0460755308216049,0,0,-0.000200463315012628,Link3,0,0,1,,,,,,,,,,,,
L_Link1,0.00657352061231821,-0.000309348250411443,-0.0151747345156473,0,0,0,0.186396401372013,7.83299289692851E-05,3.05121818869238E-12,-1.9591696072584E-07,7.66988314756653E-05,1.61633318765245E-07,4.72447757065841E-05,0,0,0,0,0,0,package://rosaya/meshes/L_Link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rosaya/meshes/L_Link1.STL,,L-Link1-1,Origin_Joint5,Axis_Joint5,Joint5,continuous,-0.0317500000000014,0,-0.0339141545469447,0.000537539761406673,0,0,L_Link,1,0,0,,,,,,,,,,,,
L_Link2,-0.00048595,0.024579,-0.091308,0,0,0,0.099079,4.9382E-05,-2.9464E-09,-1.1213E-07,3.6564E-05,-1.0628E-06,2.8912E-05,0,0,0,0,0,0,package://rosaya/meshes/L_Link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rosaya/meshes/L_Link2.STL,,L-Link2-1,Origin_Joint7,Axis_Joint7,Joint7,continuous,0.0317200000000001,-0.0244999999999996,0,0,0,0,L_Link1,0,1,0,,,,,,,,,,,,
L_Link3,0.00932898247433369,0.026035398000001,-0.0336820846788216,0,0,0,0.0193582268613659,3.00375991900623E-05,1.78199519362299E-20,-4.16144772485329E-06,2.14370365193727E-05,1.96376094083954E-19,1.54337749522801E-05,0,0,0,0,0,0,package://rosaya/meshes/L_Link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rosaya/meshes/L_Link3.STL,,L-Link3-1,Origin_Joint9,Axis_Joint9,Joint9,continuous,-0.000558037765886032,-0.00140000000000197,-0.112828252884564,0,-0.000303003582677282,0,L_Link2,0,1,0,,,,,,,,,,,,
L_Link4,-0.022933,0.025987,0.015294,0,0,0,0.18164,7.5271E-05,9.7469E-14,1.0704E-06,7.4761E-05,-1.0645E-06,4.691E-05,0,0,0,0,0,0,package://rosaya/meshes/L_Link4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rosaya/meshes/L_Link4.STL,,L-Link4-1,Origin_Joint11,Axis_Joint11,Joint11,continuous,0,0,-0.0949999999999996,0,0.000302748335169453,0,L_Link3,0,1,0,,,,,,,,,,,,
L_Link5,0.02791,0.0078481,-0.029268,0,0,0,0.072891,3.332E-05,-2.7125E-14,8.0736E-16,0.00010263,1.6495E-12,0.00013288,0,0,0,0,0,0,package://rosaya/meshes/L_Link5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rosaya/meshes/L_Link5.STL,,L-Link5-1,Origin_Joint13,Axis_Joint13,Joint13,continuous,-0.0236,0.026,0,0,0,0,L_Link4,1,0,0,,,,,,,,,,,,
R_Link,2.5032E-07,7.443E-08,-0.0094973,0,0,0,0.0062048,1.1671E-06,2.2413E-14,-1.3175E-11,4.7062E-06,-3.9175E-12,4.3674E-06,0,0,0,0,0,0,package://rosaya/meshes/R_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rosaya/meshes/R_Link.STL,,Link4-1,Origin_Joint4,Axis_Joint4,Joint4,continuous,0,-0.0456592648363355,-0.0460755308216101,0,0,-0.000200463315012628,Link3,0,0,1,,,,,,,,,,,,
